0,1,2,3,4,5,6,7,8
62,-0.781564079,-0.138562239,0.667296843,-0.247855673,0.688283774,-0.681725445,-0.484265148,-0.679073419
62.4,-0.781564079,-0.138562239,-0.536025333,-0.247855673,2.203436311,1.302381038,0.650430548,1.351281169
62.7,-0.781564079,-0.138562239,-0.207846558,-0.247855673,-0.302831043,-1.152396856,-1.203947994,-1.104994356
63.3,-0.781564079,-0.138562239,1.688297476,-1.745473034,-0.114860991,-1.007221339,-1.317641336,-1.12798043
63.4,-0.781564079,-0.138562239,-1.155918574,-0.247855673,0.450314955,-0.334850361,-0.013152868,-0.119486665
63.5,-0.781564079,-0.138562239,-0.572489641,-0.247855673,-0.576242027,1.346511414,1.41974477,0.652807402
63.9,-0.781564079,-0.138562239,-0.572489641,-0.247855673,-0.371183789,-1.009918894,-1.481687617,-1.707178262
63.9,-0.781564079,-0.138562239,-0.791275491,-0.247855673,-0.07820807,0.506487853,1.575261476,0.91613002
64.1,-0.781564079,-0.138562239,-0.025525016,-0.247855673,-0.679670524,0.037880286,0.349805941,0.909215766
64.3,-0.781564079,-0.138562239,-0.207846558,-0.247855673,-0.747123892,-0.319074334,-0.080127616,0.276049027
64.8,-0.781564079,-0.138562239,0.193260834,-0.996664354,-0.724339644,-0.561531936,-0.652055086,-1.219265258
65.4,-0.781564079,-0.138562239,-1.411168733,-0.247855673,-0.815476638,-1.332848174,-1.658313138,-1.912458751
61.5,-0.781564079,-0.528878407,0.813154076,1.249761688,1.311646578,1.302381038,0.650430548,1.351281169
61.9,-0.781564079,-0.528878407,0.849618384,1.624166028,0.031527806,-0.215747413,0.084909298,0.577843989
62.3,-0.781564079,-0.528878407,1.031939926,1.624166028,1.164854309,1.544189437,1.427009167,0.982346761
62.4,-0.781564079,-0.528878407,1.068404234,0.126548667,0.059818248,0.949612912,1.095337407,0.868455047
62.5,-0.781564079,-0.528878407,0.703761151,-2.494281715,0.150895909,-0.10657238,-0.353475477,-0.268545982
62.5,-0.781564079,-0.528878407,0.339118068,-0.996664354,1.330040112,-0.334850361,-0.013152868,-0.119486665
63,-0.781564079,-0.528878407,0.448510993,-0.247855673,-0.163018608,0.037880286,0.349805941,0.909215766
63,-0.781564079,-0.528878407,-1.228847191,-1.745473034,-0.602230311,-1.291941128,-1.122955434,-1.633259609
63,-0.781564079,-0.528878407,-2.103990591,-1.745473034,-0.259540971,-0.017471957,-0.455326042,0.168437789
63.3,-0.781564079,-0.528878407,-0.536025333,0.126548667,0.158549993,-0.062221911,-0.390503118,1.14088882
63.7,-0.781564079,-0.528878407,-2.614490908,-0.622260013,-0.162906038,-0.320040357,-0.508904473,-0.324895866
64.1,-0.781564079,-0.528878407,-1.702883199,-1.745473034,-0.329120561,0.890729945,0.901149616,0.961532851
61.4,-0.781564079,-0.138562239,0.667296843,1.249761688,0.595437961,1.302381038,0.650430548,1.351281169
61.8,-0.781564079,-0.138562239,0.156796526,1.249761688,0.59580653,0.071189509,-0.297971896,-0.531197601
62.3,-0.781564079,-0.138562239,1.542440243,1.249761688,-0.151885396,-0.486224956,-0.251763581,-0.364617011
62.4,-0.781564079,-0.138562239,-0.134917941,1.249761688,-0.473712908,1.544189437,1.427009167,0.982346761
82.1,1.702220069,0.056595844,-0.025525016,0.500953007,0.285762048,1.544189437,1.427009167,0.982346761
82.1,1.702220069,0.056595844,1.031939926,1.249761688,1.638712433,0.972839618,1.471087326,1.510711952
82.2,1.702220069,0.056595844,1.615368859,0.500953007,0.349842747,0.037880286,0.349805941,0.909215766
82.4,1.702220069,0.056595844,1.505975934,0.500953007,1.332752523,-0.062221911,-0.390503118,1.14088882
82.7,1.702220069,0.056595844,0.995475618,-0.247855673,0.549720871,-1.34863154,-0.95090981,-0.93793065
83.6,1.702220069,0.056595844,1.396583009,0.500953007,0.137956537,-1.278228934,-1.287240236,-0.372632139
83.6,1.702220069,0.056595844,0.010939293,1.249761688,-0.437138193,0.390965225,0.716052194,1.236077934
84,1.702220069,0.056595844,-0.499561024,-0.996664354,-0.815476638,0.506487853,1.575261476,0.91613002
